item,category,cost,fling_power,fling_effect,flavor_text,name
i_27e43d28,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Lib5603
i_7be38d3a,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Lib5787
i_2c37cc9e,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Lib5531
i_c6628595,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Lib5685
i_6813625e,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Gru8353
i_53ab2f38,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Gru8636
i_b4bd04cf,35.0,10000.0,100.0,,A piece of amber that still contains the geneticmaterial of an ancient Pokémon. Its clear with atawny reddish tint.,Old Amber
i_25556d50,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Cyg7924
i_03224f0e,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Pup3045
i_1784f777,21.0,0.0,,,A very convenient map that can be viewed anytime.It even shows you your present location in the region.,Town Map
i_c83e4e52,37.0,1000.0,,,The user flies up into the sky and then strikes its targeton the next turn.,TM06
i_a6dd4fd9,23.0,0.0,,,A mythical chain that is said to link theLegendary Pokémon that created the Sinnoh region.,Red Chain
i_fbe295f1,23.0,0.0,,,This is a crystallized form of Z-Power.It upgrades Kommo-o’s Clanging Scales toa Z-Move.,Kommonium Z
i_ea23951c,23.0,0.0,,,It converts Z-Power into crystals that upgradeSolgaleo’s Sunsteel Strike to an exclusive Z-Move.,Solganium Z
i_e5b515d9,23.0,0.0,,,This is a crystallized form of Z-Power.It upgrades Mimikyu’s Play Rough to a Z-Move.,Mimikium Z
i_dd43c9d3,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Nidoran♀ Candy
i_025603fb,23.0,0.0,,,It converts Z-Power into crystals that upgradeMimikyu’s Play Rough to an exclusive Z-Move.,Mimikium Z
i_194db646,23.0,0.0,,,It converts Z-Power into crystals that upgradeLycanroc’s Stone Edge to an exclusive Z-Move.,Lycanium Z
i_166ab169,23.0,0.0,,,It converts Z-Power into crystals that upgradeLunala’s Moongeist Beam to an exclusive Z-Move.,Lunalium Z
i_277dc3f1,23.0,0.0,,,It’s a crystal that turns Necrozma fused withSolgaleo or Lunala into a new form.,Ultranecrozium Z
i_b634bf7a,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Weedle Candy
i_c136caee,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Pidgey Candy
i_0ce5fbf5,23.0,0.0,,,It converts Z-Power into crystals that upgradeKommo-o’s Clanging Scales to an exclusive Z-Move.,Kommonium Z
i_0992e422,23.0,0.0,,,A mysterious ring that enables Pokémon to useZ-Power. It requires both the willpower and thephysical power of the Trainer wearing it.,Z-Power Ring
i_9a5a8f76,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Ekans Candy
i_6d51e5cf,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Pikachu Candy
i_a483075f,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Rattata Candy
i_22da5f3f,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Spearow Candy
i_2ec08f02,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Psc510
i_31ae979a,22.0,0.0,,,,Ruby
i_4e6ca003,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Crv4662
i_93a03e0f,24.0,600.0,30.0,,A single earring that somebody dropped.,Lone Earring
i_27a6a12b,25.0,50.0,,,,Tunnel Mail
i_cad2e7c3,22.0,,,,A very old-fashioned bell that makes a gentleringing sound.,Clear Bell
i_4d1fc286,22.0,0.0,,,A very old-fashioned bell that makes a gentleringing sound.,Clear Bell
i_2b8eb4bf,41.0,0.0,,,It holds Pokéathlon records. It is a card that showshow many times your Pokémon dashed inthe Pokéathlon.,Data Card 03
i_b4d41d27,41.0,0.0,,,It holds Pokéathlon records. It is a card that showshow many times your Pokémon jumped inthe Pokéathlon.,Data Card 04
i_75649bf4,2.0,80.0,10.0,,A Berry to be consumed by Pokémon. Using it on aPokémon makes it more friendly but lowers itsSpeed base points.,Tamato Berry
i_458348d5,2.0,80.0,10.0,,A Berry to be consumed by Pokémon. Using it on aPokémon makes it more friendly but lowers itsSpeed base points.,Tamato Berry
i_3d0faeb4,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Gem2650
i_3d31c965,22.0,0.0,,,A mystical rainbow feather that sparkles.,Rainbow Wing
i_ac93b3cf,22.0,0.0,,,A mysterious Egg obtained from Mr. Pokémon.What is in the Egg is unknown.,Mystery Egg
i_9a332e27,22.0,0.0,,,An important part of a machine that was stolenfrom the Power Plant.,Machine Part
i_7867d00e,22.0,0.0,,,"A strange, silvery feather that sparkles.",Silver Wing
i_5e7be5c1,41.0,0.0,,,It holds Pokéathlon records. It is a card that showshow many victories you have had inthe Pokéathlon.,Data Card 01
i_bad1e507,41.0,0.0,,,It holds Pokéathlon records. It is a card that showshow many losses you have had in the Pokéathlon.,Data Card 02
i_4fb9afaa,21.0,0.0,,,A music player that allows you to listen to nostalgicsongs. It’s operated with the flip of a single switch.,GB Sounds
i_315a1a1e,22.0,0.0,,,A very old-fashioned bell that makes a gentleringing sound.,Tidal Bell
i_482495aa,21.0,0.0,,,Strange earbuds that allow you to freely control thevolume of various sounds.,Hi-tech Earbuds
i_fbda9a11,21.0,0.0,,,Strange earbuds that allow you to freely control thevolume of various sounds.,Hi-tech Earbuds
i_bb84fd38,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Car3685
i_70244362,37.0,1000.0,,,The user drenches the target in a special poisonousliquid. This move’s power is doubled if the targetis poisoned.,TM74
i_508e2b57,37.0,1000.0,,,"The user makes a swift attack on the target’s legs,which lowers the target’s Speed stat.",TM75
i_bc245364,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Camerupt hold it, and this stone will enable itto Mega Evolve during battle.",Cameruptite
i_25367931,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Lopunny hold it, and this stone will enable itto Mega Evolve during battle.",Lopunnite
i_f3e4ceb7,37.0,50000.0,,,The user creates a bizarre area in which slowerPokémon get to move first for five turns.,TM70
i_96f1f718,37.0,50000.0,,,The user creates a bizarre area in which Pokémon’sDefense and Sp. Def stats are swapped forfive turns.,TM71
i_16d41b5c,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Glalie hold it, and this stone will enable itto Mega Evolve during battle.",Glalitite
i_83987ff7,37.0,1000.0,,,A slashing attack with a poisonous blade that mayalso poison the target. Critical hits land more easily.,TM73
i_e2d9df82,37.0,30000.0,,,The user bites with electrified fangs. This may alsomake the target flinch or leave it with paralysis.,TM66
i_b9635c8c,37.0,30000.0,,,The user bites with cold-infused fangs. This mayalso make the target flinch or leave it frozen.,TM67
i_38887800,37.0,30000.0,,,The user bites with flame-cloaked fangs. This mayalso make the target flinch or leave it with a burn.,TM68
i_5f60325f,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Slowbro hold it, and this stone will enable itto Mega Evolve during battle.",Slowbronite
i_d8d159b9,21.0,0.0,,,This folding bike allows you to perform actionssuch as wheelies and bunny hops.,Acro Bike
i_926155ca,25.0,50.0,,,Stationery featuring an illustration of avintage-looking brick bridge. Have a Pokémon holdit for delivery.,Bridge Mail V
i_16ef659e,25.0,50.0,,,Stationery featuring an illustration of a majesticallyarched bridge. Have a Pokémon hold it for delivery.,Bridge Mail M
i_7f7f400f,25.0,50.0,,,Stationery featuring an illustration of a bright-reddrawbridge. Have a Pokémon hold it for delivery.,Bridge Mail D
i_ae6d48f4,25.0,50.0,,,Stationery featuring an illustration of a high-tensionsteel suspension bridge. Have a Pokémon hold itfor delivery.,Bridge Mail T
i_ae44cdc6,25.0,50.0,,,Stationery designed to make it easy to respondto a letter you received. Have a Pokémon hold itfor delivery.,Reply Mail
i_7dc1f242,25.0,50.0,,,Stationery featuring an illustration of a bridge thatseems to pierce the sky. Have a Pokémon hold itfor delivery.,Bridge Mail S
i_18ae7211,25.0,50.0,,,Stationery designed to make it easier to pose aquestion about something. Have a Pokémon hold itfor delivery.,Inquiry Mail
i_694ee191,25.0,50.0,,,Stationery designed to allow you to recommendsomething to the reader. Have a Pokémon hold itfor delivery.,Like Mail
i_58262b03,25.0,50.0,,,Stationery designed to allow you to extend aninvitation to the recipient. Have a Pokémon hold itfor delivery.,RSVP Mail
i_2afa78a4,25.0,50.0,,,Stationery designed to make it easy for you toexpress thanks. Have a Pokémon hold itfor delivery.,Thanks Mail
i_7a4a1475,37.0,100000.0,,,"The user attacks by breathing a special, hot fire.This also lowers the target’s Sp. Atk stat.",TM92
i_6ba6e09e,37.0,0.0,,,---,HM01
i_3bf32d02,37.0,20000.0,,,"The user electrifies the ground for five turns,powering up Electric-type moves. Pokémon on theground no longer fall asleep.",TM90
i_ba2aed7d,37.0,20000.0,,,This protects Pokémon on the ground from prioritymoves and powers up Psychic-type moves forfive turns.,TM91
i_33d23887,37.0,20000.0,,,The user turns the ground to grass for five turns.This restores the HP of Pokémon on the ground alittle every turn and powers up Grass-type moves.,TM88
i_6b3206dc,37.0,20000.0,,,This protects Pokémon on the ground from statusconditions and halves damage from Dragon-typemoves for five turns.,TM89
i_281bb737,37.0,1000.0,,,"The user vanishes somewhere, then strikes thetarget on the next turn. This move hits even if thetarget protects itself.",TM86
i_4e465487,37.0,1000.0,,,The user steals the target’s HP with a kiss. Theuser’s HP is restored by over half of the damagetaken by the target.,TM87
i_e391a251,37.0,0.0,,,---,HM02
i_391f5811,37.0,0.0,,,---,HM03
i_33c89cdd,21.0,0.0,,,A box-shaped machine that stores Medals andMedal information.,Medal Box
i_aa2fc19c,46.0,,,,This is a crystallized form of Z-Power.It upgrades Flying-type moves to Z-Moves.,Flyinium Z
i_fd744752,37.0,4000.0,10.0,,The user lays a trap of poison spikes at the feet ofthe opposing team. The spikes will poison opposingPokémon that switch into battle.,TR54
i_e24b6b09,37.0,16000.0,120.0,,The user cloaks itself in fire and charges the target.This also damages the user quite a lot. This attackmay leave the target with a burn.,TR55
i_089f07f5,37.0,6000.0,10.0,,"The user tackles the target with a high-speed spin.The slower the user compared to the target, thegreater the move’s power.",TR52
i_330a75cf,37.0,16000.0,120.0,,The user fights the target up close without guardingitself. This also lowers the user’s Defense andSp. Def stats.,TR53
i_50bd7cd0,37.0,6000.0,80.0,,The user releases a horrible aura imbued with darkthoughts. This may also make the target flinch.,TR58
i_bd2074dd,37.0,6000.0,80.0,,The user slams a barrage of hard-shelled seedsdown on the target from above.,TR59
i_bf48f314,37.0,6000.0,80.0,,The user lets loose a blast of aura power from deepwithin its body at the target. This attacknever misses.,TR56
i_0ac54c53,37.0,6000.0,80.0,,"The target is stabbed with a tentacle, arm, or the likesteeped in poison. This may also poison the target.",TR57
i_b39d4e1e,37.0,6000.0,80.0,,The user slashes at the target by crossing itsscythes or claws as if they were a pair of scissors.,TR60
i_8daf4e54,37.0,10000.0,90.0,,The user generates a damaging sound wave byvibration. This may also lower the target’sSp. Def stat.,TR61
i_307b62b6,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Abra Candy
i_99c8b7fb,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Machop Candy
i_f2ffb0d5,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Alakazam hold it, and this stone will enable itto Mega Evolve during battle.",Alakazite
i_e1f48597,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Heracross hold it, and this stone will enable itto Mega Evolve during battle.",Heracronite
i_d44269f7,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Psyduck Candy
i_c21f003a,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Mankey Candy
i_81676832,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Growlithe Candy
i_02b805fb,47.0,20.0,,,"A candy that is packed with energy. When given tocertain Pokémon, it will increase all their stats at once.",Poliwag Candy
i_a38984fb,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Lucario hold it, and this stone will enable it toMega Evolve during battle.",Lucarionite
i_c8ed160b,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Abomasnow hold it, and this stone will enableit to Mega Evolve during battle.",Abomasite
i_7903324e,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Pinsir hold it, and this stone will enable it toMega Evolve during battle.",Pinsirite
i_26b85a36,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Aerodactyl hold it, and this stone will enableit to Mega Evolve during battle.",Aerodactylite
i_49321a15,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Absol hold it, and this stone will enable it toMega Evolve during battle.",Absolite
i_ec3c0db5,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Charizard hold it, and this stone will enable itto Mega Evolve during battle.",Charizardite Y
i_c24701c5,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Kangaskhan hold it, and this stone will enableit to Mega Evolve during battle.",Kangaskhanite
i_0d1bdcd3,44.0,0.0,80.0,,"One of a variety of mysterious Mega Stones.Have Gyarados hold it, and this stone will enable itto Mega Evolve during battle.",Gyaradosite
i_b0c7026d,12.0,5000.0,10.0,,An item to be held by a Pokémon. The beguilingaroma of this incense may cause attacks to missits holder.,Lax Incense
i_8c9fefce,,50000.0,,,The target is attacked with a powerful beam.The user cant move on the next turn.,TM08
i_55ce1078,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Lep1829
i_45e492a3,26.0,10000.0,30.0,,"A nutritious drink for Pokémon. When consumed,it raises the Sp. Atk base points of a single Pokémon.",Calcium
i_961f29d1,26.0,10000.0,30.0,,"A nutritious drink for Pokémon. When consumed,it raises the Speed base points of a single Pokémon.",Carbos
i_17c651a4,12.0,4000.0,80.0,,Raises Speed sharply when a Pokémon misses with amove because of accuracy.,Blunder Policy
i_24bc06bc,28.0,4500.0,30.0,,This medicine can be used to fully restore the PP of allof the moves that have been learned by a Pokémon.,Max Elixir
i_cc1eb8de,28.0,3000.0,30.0,,This medicine can be used to restore 10 PP to each ofthe moves that have been learned by a Pokémon.,Elixir
i_1a815662,27.0,200.0,30.0,,A 100 percent pure juice made of Berries.It can be used to restore 20 HP to a single Pokémon.,Berry Juice
i_3e5d5c17,30.0,350.0,30.0,,Lavaridge Town’s local specialty. It can be usedonce to heal all the status conditions of a Pokémon.,Lava Cookie
i_0aa42e85,26.0,10000.0,30.0,,"A nutritious drink for Pokémon. When consumed,it raises the HP base points of a single Pokémon.",HP Up
i_c68bf187,29.0,50000.0,30.0,,"This rare ash can revive all fainted Pokémon in aparty. In doing so, it also fully restores their max HP.",Sacred Ash
i_ca97d5f6,26.0,10000.0,30.0,,"A nutritious drink for Pokémon. When consumed, itraises the Defense base points of a single Pokémon.",Iron
i_b3056134,26.0,10000.0,30.0,,"A nutritious drink for Pokémon. When consumed,it raises the Attack base points of a single Pokémon.",Protein
i_9d83b414,37.0,1000.0,,,The user frightens the target with a scary face toharshly lower its Speed stat.,TM26
i_f4ae3d4d,2.0,80.0,10.0,,A Berry to be consumed by Pokémon. Using it on aPokémon makes it more friendly but lowers itsDefense base points.,Qualot Berry
i_46ff6400,2.0,80.0,10.0,,A Berry to be consumed by Pokémon. Using it on aPokémon makes it more friendly but lowers itsDefense base points.,Qualot Berry
i_9db8b843,49.0,,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Sgr7597
i_e7d094e2,12.0,4000.0,10.0,,An item to be held by a Pokémon. Moves thatnormally have no effect will land on a Pokémonholding it.,Ring Target
i_e62f96a3,,4000.0,10.0,,An item to be held by a Pokémon. Moves thatnormally have no effect will land on a Pokémonholding it.,Ring Target
i_17c8a617,24.0,0.0,30.0,,A silver coin used by an ancient civilization aboutthree thousand years ago.,Relic Silver
i_a8d95a60,24.0,60000.0,30.0,,A gold coin used by an ancient civilization aboutthree thousand years ago.,Relic Gold
i_6fdfb06a,8.0,20.0,10.0,,"Used to make Pokéblocks that will enhance yourCuteness, this Berry is rare in other regions.",Spelon Berry
i_4af4cb0d,24.0,0.0,30.0,,A copper coin used by an ancient civilization aboutthree thousand years ago.,Relic Copper
i_a42e3a0d,24.0,40000.0,130.0,,A big nugget of pure gold that gives off a lustrousgleam. It can be sold at a high price to shops.,Big Nugget
i_ed8ea3a4,24.0,20000.0,30.0,,Very large pearls that sparkle in a pretty silvercolor. They can be sold at a high price to shops.,Pearl String
i_4868756c,22.0,0.0,,,A skull of a Pokémon that was said to have bravedthe angry waters to fly around the world.,Dragon Skull
i_5adf0c64,8.0,20.0,10.0,,"Used to make Pokéblocks that will enhance yourCuteness, this Berry is rare in other regions.",Magost Berry
i_be5c1837,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Sgr6859
i_7cc5b0b0,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Sgr6913
i_f8b5d905,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★And390
i_ad47531d,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★Sgr6879
i_26026044,8.0,20.0,10.0,,"Used to make Pokéblocks that will enhance yourCleverness, this Berry is rare in other regions.",Watmel Berry
i_95124657,8.0,20.0,10.0,,"Used to make Pokéblocks that will enhance yourCleverness, this Berry is rare in other regions.",Durin Berry
i_c346aad5,24.0,0.0,30.0,,A fragile vase made by an ancient civilization aboutthree thousand years ago.,Relic Vase
i_1097dc65,24.0,0.0,30.0,,A heavy bracelet made by an ancient civilizationabout three thousand years ago.,Relic Band
i_38581fbc,7.0,80.0,10.0,,If held by a Pokémon this Berry will lessen thedamage taken from one supereffectiveWater-type attack.,Passho Berry
i_83140c49,37.0,1000.0,,,An earsplitting screech harshly lowers the targetsDefense stat.,TM16
i_6620dd0a,21.0,0.0,,,A music player that allows you to listen to nostalgicsongs. Its operated with the flip of a single switch.,GB Sounds
i_1ec91a73,45.0,1000.0,50.0,,A memory disc that contains Rock-type data.It changes the type of the holder if held bya certain species of Pokémon.,Rock Memory
i_caf54f10,,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Cyg7949
i_c6e830b1,35.0,7000.0,100.0,,A fossil from a prehistoric Pokémon that once livedin the sky. It looks as if it could come from part ofits wing.,Plume Fossil
i_baf4ac9f,37.0,,,,The user attacks by striking the target with its hardtail. It hits the target two to five times in a row.,TM84
i_9c7fd901,37.0,1000.0,,,The user attacks by striking the target with its hardtail. It hits the target two to five times in a row.,TM84
i_3d4000bc,47.0,20.0,,,A candy that is packed with energy. When given tocertain Pokémon it will increase all their stats at once.,Snorlax Candy
i_ab5eff69,42.0,200.0,,,A gem with an essence of the fey. When held itstrengthens the power of a Fairy-type moveone time.,Fairy Gem
i_89e0f1cb,,200.0,,,A gem with an essence of the fey. When held itstrengthens the power of a Fairy-type moveone time.,Fairy Gem
i_c92fc785,,0.0,,,A coupon to be exchanged for a Pokémon Watch—Pokétch for short. Three coupons are needed.,Coupon 2
i_2450aa24,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Boo5435
i_4b35ed5b,,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Cep8162
i_32d32696,,0.0,,,It converts Z-Power into crystals that upgradeSnorlaxs Giga Impact to an exclusive Z-Move.,Snorlium Z
i_cc39d08d,23.0,,,,A key that opens the storage hold insideSea Mauville.,Storage Key
i_b5653a94,51.0,2200.0,20.0,,One of the many ingredients that can be used forcooking at your camp. An apple chosen above others.It has spectacular form and a brilliant sheen.,Fancy Apple
i_ef035d42,23.0,0.0,,,One of the Rotom Powers.It triples the prize money you receive after battle.,Roto Prize Money
i_52f54aec,51.0,400.0,50.0,,One of the many ingredients that can be used forcooking at your camp. There are over fifty spicescontained within this ingredients hot flavor.,Spice Mix
i_fe8a44a0,51.0,400.0,50.0,,One of the many ingredients that can be used forcooking at your camp. There are over fifty spicescontained within this ingredients hot flavor.,Spice Mix
i_60af57e1,47.0,20.0,,,A candy that is packed with energy. When given tocertain Pokémon it will increase all their stats at once.,Eevee Candy
i_0b87c1c7,49.0,,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Gem2990
i_49b56bc8,49.0,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Gem2990
i_6a740d8a,,0.0,,,---,HM06
i_75177325,2.0,80.0,10.0,,A Berry to be consumed by Pokémon. Using it on aPokémon makes it more friendly but lowers itsSp. Def base points.,Grepa Berry
i_d4e9586e,,20.0,,,An item that causes VAR 0000 to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,Ari951
i_a859e6df,41.0,0.0,,,It holds Pokéathlon records. It is a card that showshow many losses you have had in the Pokéathlon.,Data Card 02
i_2b85a7d1,23.0,,,,One of the Rotom Powers.It helps Pokémon in your party grow friendly faster.,Roto Friendship
i_cdfecab2,22.0,0.0,,,Produce that the King of Bountiful Harvests belovedsteed likes to eat. It grew in a field covered in snow.,Iceroot Carrot
i_e5c140dd,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa4033
i_e05a5a87,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa4377
i_533549f8,21.0,0.0,,,A mysterious ring that enables Pokémon to useZ-Power. It requires both the willpower andthe physical power of the Trainer wearing it.,Z-Ring
i_59549a3d,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa5191
i_752939e0,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa5054
i_38caba64,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa4295
i_3f6865bf,49.0,20.0,,,An item that causes [VAR (0000)] to appear fromthe Watchtower Lair in the Wild Area until the end ofthe day.,★UMa4660
